ARTICOLO;DESCRIZIONE;Q.TA
06437;CHARM FARFALLA GRANDE;1,00
08238;CHARM FARFALLA;1,00
08622;CHARM PESCI;1,00
09532;BRACCIALE PERLAGE PICCOLO cm 18,5;1,00
09526;PENDENTE PERLAGE cm 90;1,00
10253;ORECCHINI CERCHIO PERLAGE;1,00
09538;ORECCHINI CASCATA PERLAGE;1,00
09482;COLLANA CROCODILE cm 52;1,00
10195;CHARM KOALA;1,00
10194;CHARM PANDA;1,00
10193;CHARM CONIGLIO;1,00
06578;CHARM DELFINO;1,00
09650;CHARM GATTO;1,00
09853;CHARM CAVALLO;1,00
06446;CHARM GECO;1,00
06999;CHARM GECO GRANDE;1,00
07649;CHARM GUFO PICCOLO;1,00
07765;CHARM GUFO;1,00
07008;CHARM GUFO GRANDE;1,00
09686/16;ANELLO BAMBU' mis.16;1,00
09539;COLLANA SWING MARGHERITE cm 45;1,00
07583;BRACCIALE MINI MARGHERITE cm 19;1,00
07995;ORECCHINI FARFALLA MINI;1,00
07791/16;ANELLO FASCIA MARGHERITE mis.16;1,00
07997;ORECCHINI MARGHERITA MINI;1,00
07560;ORECCHINI MARGHERITA PICCOLI;1,00
10364;ORECCHINI FANTASY MARGHERITA;1,00
07587;BRACCIALE MINI FARFALLE cm 18;1,00
07501;BRACCIALE FARFALLE cm 21;1,00
09536;ORECCHINI BOTTONE PERLAGE;1,00
09800;ANELLO DUE FARFALLE;1,00
09540;COLLANA SWING FARFALLE cm 45;1,00
09961;PENDENTE VIA LATTEA cm 80;1,00
09966;ORECCHINI BOTTONE VIA LATTEA;1,00
09531;BANGLE PERLAGE;1,00
10263;COLLANA MINI SWING MORNING ST cm 43;1,00
10260;BRACCIALE MIGNON FORTUNA cm 19,5;1,00
10505;BRACCIALE MAGLIA OVALE cm 22,5;1,00
10257;BRACCIALE MIGNON MARE cm 19,5;1,00
09711;BRACCIALE MAGLIA BIZANTINA PICCOLA;1,00
06863;BRACCIALE MAGLIA BIZANTINA cm 21;1,00
07402;BRACCIALE MINI MAGLIA BIZANTINA;1,00
10143;BRACCIALE MAGLIA BIZANTINA MI cm 19;1,00
10659;BANGLE CROCODILE PICCOLO;1,00
07338;ORECCHINI CROCODILE;1,00
10652;BANGLE BAMBU'PICCOLO;1,00
07503;BRACCIALE MARGHERITE cm 19;1,00
07220;ORECCHINI CERCHIO BAMBU';1,00
09680;ORECCHINI BAMBU';1,00
10654;ORECCHINI CERCHIO BAMBU' PICCOLI;1,00
10578;BRACCIALE MINI BOWL MINI cm 20;1,00
10584;ORECCHINI BOTTONE SUPER BOWL PICCOL;1,00
10585;ORECCHINI MINI BOWL;1,00
10320;COLLANA ROCK diam. cm 14;1,00
10689/16;ANELLO ROCK GRANDE mis.16;1,00
10486;BRACCIALE BERRIES cm 20;1,00
10489;BRACCIALE MINI BOWL BLACK cm 20;1,00
10259;BRACCIALE MIGNON PRIMAVERA cm 19,5;1,00
10491;BRACCIALE BLACK BOWL cm 20;1,00
10255;BRACCIALE MIGNON MIXAGE cm 19,5;1,00
10256;BRACCIALE MIGNON CIAMBELLINE cm19,5;1,00
10254;BRACCIALE MIGNON MONETINE cm 19,5;1,00
10270;BRACCIALE MINI SWING CUORE cm 19;1,00
10265;COLLANA MINI SWING CUORE cm 43;1,00
10268;BRACCIALE MINI SWING MORNING  cm 19;1,00
10325;BANGLE ROCK MINI;1,00
10238;BANGLE ROCK GRANDE;1,00
10327;BRACCIALE SUPER BOWL SMALL cm 20,5;1,00
10322;ORECCHINI ROCK LIGHT MEDI  diam. mm;1,00
10321;ORECCHINI ROCK LIGHT GRANDI diam. m;1,00
10581;ORECCHINI ROCK LIGHT MINI diam. mm;1,00
10582;ORECCHINI ROCK LIGHT MINI MINI diam;1,00
10242;ORECCHINI ROCK MEDI diam. mm 43;1,00
10243;ORECCHINI ROCK PICCOLI diam. mm 34;1,00
10241;ORECCHINI ROCK GRANDI diam. mm 53;1,00
10237;BRACCIALE SUPER BOWL MEDIO cm 19,5;1,00
10577;BRACCIALE MINI BOWL INTRECCI cm 21;1,00
10490;BRACCIALE BLACK BERRIES cm 20;1,00
10485;BRACCIALE MINI BOWL cm 20;1,00
10244;ORECCHINI BOTTONE SUPER BOWL;1,00
10961/18;ANELLO PARIS mis.18;1,00
10964;BANGLE PARIS PICCOLO;1,00
C09383;CATALOGO GENERALE GIOIELLI  2020;1,00
10682;COLLANA MAUI DOUBLE cm 42;1,00
C09384;CATALOGO GENERALE CHARMS &CO 2020;1,00
C09391;BROCHURE CHARMS 2020 10 PZ;1,00
C09397;CATALOGO GIOIELLI AI 2020 - '21;1,00
C09399IT;LISTINO  PUBBLICO CHARMS SETT. 2020;1,00
C09398IT;LISTINO GIOIELLI SETT. 2020;1,00
10510;BRACCIALE ROLO' MARTELLATO GRANDE;1,00
09535/16;ANELLO PERLAGE mis.16;1,00
10312;COLLANA MAUI cm 42;1,00
10323;ORECCHINI ROCK LIGHT PICCOLI diam.;1,00
10316;ORECCHINI MAUI GRANDI;1,00
10240;BANGLE ROCK PICCOLO;1,00
10239;BANGLE ROCK MEDIO;1,00
06652;"""F"" CON STELLE";1,00
06651;"""E"" CON STELLE";1,00
06650;"""D"" CON STELLE";1,00
06649;"""C"" CON STELLE";1,00
06647;"""A"" CON STELLE";1,00
06931;BRACCIALE ONDA cm 22;1,00
06927;BRACCIALE ROLO' GIGANTE cm 21;1,00
10334;BRACCIALE FIZZY cm 20;1,00
10701;ORECCHINI HUGGIE;1,00
08592;BRACCIALE ANELLI cm 21;1,00
11054;COLLANA LILY cm 42;1,00
11058;BRACCIALE BROOKLYN cm 21;1,00
11059;BRACCIALE BROOKLYN LIGHT cm 20;1,00
C09394;BROCHURE GIOIELLI 2020 10PZ;1,00
11055;BRACCIALE LILY cm 20;1,00
A08248;COUVETTE  A 9 SPAZI;3,00
09858;CHARM CHAMPAGNE;1,00
08634;CHARM TOQUE;1,00
08878;CHARM GHIACCIOLO;1,00
09666;CHICCO CAFFE';1,00
08886;CHARM TAZZINA;1,00
08885;CHARM MOKA;1,00
10208;CHARM CUPCAKE;1,00
06537;CHARM FETTA TORTA;1,00
10205;CHARM TORTA CUORE;1,00
06666;"""V"" CON STELLE";1,00
06663;"""S"" CON STELLE";1,00
06662;"""R"" CON STELLE";1,00
06657;"""M"" CON STELLE";1,00
06656;"""L"" CON STELLE";1,00
06653;"""G"" CON STELLE";1,00
11103;ORECCHINI DROPS FARFALLE;1,00
11102;ORECCHINI DROPS MARGHERITE;1,00
11101;ORECCHINI DROPS PERLAGE;1,00
11100/14;ANELLO DROPS FARFALLE mis.14;1,00
11099/16;ANELLO DROPS MARGHERITE mis.16;1,00
11098/14;ANELLO DROPS PERLAGE mis.14;1,00
